number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
66,dublin,NEW CENTRAL BANK,New Central Bank,"{'lat': 53.347122, 'lng': -6.234749}",FALSE,FALSE,40,37,3,OPEN,1.73923E+12
104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),"{'lat': 53.355173, 'lng': -6.278424}",FALSE,FALSE,40,26,14,OPEN,1.73923E+12
101,dublin,KING STREET NORTH,King Street North,"{'lat': 53.350291, 'lng': -6.273507}",FALSE,FALSE,30,17,13,OPEN,1.73923E+12
115,dublin,KILLARNEY STREET,Killarney Street,"{'lat': 53.354845, 'lng': -6.247579}",FALSE,FALSE,30,1,29,OPEN,1.73923E+12
47,dublin,HERBERT STREET,Herbert Street,"{'lat': 53.335742, 'lng': -6.24551}",FALSE,FALSE,40,37,3,OPEN,1.73923E+12
117,dublin,HANOVER QUAY EAST,Hanover Quay East,"{'lat': 53.343653, 'lng': -6.231755}",FALSE,FALSE,40,40,0,OPEN,1.73923E+12
8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,"{'lat': 53.347884, 'lng': -6.248048}",FALSE,FALSE,30,12,18,OPEN,1.73923E+12
27,dublin,MOLESWORTH STREET,Molesworth Street,"{'lat': 53.341288, 'lng': -6.258117}",FALSE,FALSE,20,18,1,OPEN,1.73923E+12
16,dublin,GEORGES QUAY,Georges Quay,"{'lat': 53.347508, 'lng': -6.252192}",FALSE,FALSE,20,13,7,OPEN,1.73923E+12
96,dublin,KILMAINHAM LANE,Kilmainham Lane,"{'lat': 53.341805, 'lng': -6.305085}",FALSE,FALSE,30,17,13,OPEN,1.73923E+12
82,dublin,MOUNT BROWN,Mount Brown,"{'lat': 53.341645, 'lng': -6.29719}",FALSE,FALSE,22,10,12,OPEN,1.73923E+12
76,dublin,MARKET STREET SOUTH,Market Street South,"{'lat': 53.342296, 'lng': -6.287661}",FALSE,FALSE,38,25,13,OPEN,1.73923E+12
71,dublin,KEVIN STREET,Kevin Street,"{'lat': 53.337757, 'lng': -6.267699}",FALSE,FALSE,40,24,16,OPEN,1.73923E+12
79,dublin,ECCLES STREET EAST,Eccles Street East,"{'lat': 53.358115, 'lng': -6.265601}",FALSE,FALSE,27,27,0,OPEN,1.73923E+12
69,dublin,GRAND CANAL DOCK,Grand Canal Dock,"{'lat': 53.342638, 'lng': -6.238695}",FALSE,FALSE,40,30,10,OPEN,1.73923E+12
25,dublin,MERRION SQUARE EAST,Merrion Square East,"{'lat': 53.339434, 'lng': -6.246548}",FALSE,FALSE,30,21,9,OPEN,1.73923E+12
51,dublin,YORK STREET WEST,York Street West,"{'lat': 53.339334, 'lng': -6.264699}",FALSE,FALSE,40,0,0,OPEN,1.73923E+12
37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,"{'lat': 53.337494, 'lng': -6.26199}",FALSE,FALSE,30,20,10,OPEN,1.73923E+12
59,dublin,DENMARK STREET GREAT,Denmark Street Great,"{'lat': 53.35561, 'lng': -6.261397}",FALSE,FALSE,20,19,1,OPEN,1.73923E+12
95,dublin,ROYAL HOSPITAL,Royal Hospital,"{'lat': 53.343897, 'lng': -6.29706}",FALSE,FALSE,40,17,23,OPEN,1.73923E+12
94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),"{'lat': 53.346985, 'lng': -6.297804}",FALSE,FALSE,40,31,9,OPEN,1.73923E+12
105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),"{'lat': 53.355954, 'lng': -6.278378}",FALSE,FALSE,36,29,7,OPEN,1.73923E+12
36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,"{'lat': 53.337824, 'lng': -6.256035}",FALSE,FALSE,40,40,0,OPEN,1.73923E+12
93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),"{'lat': 53.346603, 'lng': -6.296924}",FALSE,FALSE,40,5,35,OPEN,1.73923E+12
22,dublin,TOWNSEND STREET,Townsend Street,"{'lat': 53.345922, 'lng': -6.254614}",FALSE,FALSE,20,4,16,OPEN,1.73923E+12
50,dublin,GEORGES LANE,George's Lane,"{'lat': 53.35023, 'lng': -6.279696}",FALSE,FALSE,40,31,9,OPEN,1.73923E+12
110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,"{'lat': 53.356307, 'lng': -6.273717}",FALSE,FALSE,40,17,23,OPEN,1.73923E+12
12,dublin,ECCLES STREET,Eccles Street,"{'lat': 53.359246, 'lng': -6.269779}",FALSE,FALSE,20,16,4,OPEN,1.73923E+12
34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,"{'lat': 53.330362, 'lng': -6.265163}",FALSE,FALSE,30,0,30,OPEN,1.73923E+12
78,dublin,MATER HOSPITAL,Mater Hospital,"{'lat': 53.359967, 'lng': -6.264828}",FALSE,FALSE,40,36,4,OPEN,1.73923E+12
2,dublin,BLESSINGTON STREET,Blessington Street,"{'lat': 53.356769, 'lng': -6.26814}",FALSE,FALSE,20,15,5,OPEN,1.73923E+12
75,dublin,JAMES STREET,James Street,"{'lat': 53.343456, 'lng': -6.287409}",FALSE,FALSE,40,15,25,OPEN,1.73923E+12
111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,"{'lat': 53.356717, 'lng': -6.256359}",FALSE,FALSE,40,37,3,OPEN,1.73923E+12
26,dublin,MERRION SQUARE WEST,Merrion Square West,"{'lat': 53.339764, 'lng': -6.251988}",FALSE,FALSE,20,11,9,OPEN,1.73923E+12
65,dublin,CONVENTION CENTRE,Convention Centre,"{'lat': 53.34744, 'lng': -6.238523}",FALSE,FALSE,40,37,3,OPEN,1.73923E+12
15,dublin,HARDWICKE STREET,Hardwicke Street,"{'lat': 53.355473, 'lng': -6.264423}",FALSE,FALSE,16,15,1,OPEN,1.73923E+12
86,dublin,PARKGATE STREET,Parkgate Street,"{'lat': 53.347972, 'lng': -6.291804}",FALSE,FALSE,38,10,28,OPEN,1.73923E+12
35,dublin,SMITHFIELD,Smithfield,"{'lat': 53.347692, 'lng': -6.278214}",FALSE,FALSE,30,7,23,OPEN,1.73923E+12
10,dublin,DAME STREET,Dame Street,"{'lat': 53.344007, 'lng': -6.266802}",FALSE,FALSE,16,0,16,OPEN,1.73923E+12
100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),"{'lat': 53.347106, 'lng': -6.292041}",FALSE,FALSE,25,2,23,OPEN,1.73923E+12
24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,"{'lat': 53.352149, 'lng': -6.260533}",FALSE,FALSE,20,5,15,OPEN,1.73923E+12
64,dublin,SANDWITH STREET,Sandwith Street,"{'lat': 53.345203, 'lng': -6.247163}",FALSE,FALSE,40,16,24,OPEN,1.73923E+12
109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,"{'lat': 53.353331, 'lng': -6.249319}",FALSE,FALSE,29,0,29,OPEN,1.73923E+12
85,dublin,ROTHE ABBEY,Rothe Abbey,"{'lat': 53.338776, 'lng': -6.30395}",FALSE,FALSE,35,7,28,OPEN,1.73923E+12
107,dublin,CHARLEVILLE ROAD,Charleville Road,"{'lat': 53.359157, 'lng': -6.281866}",FALSE,FALSE,40,33,7,OPEN,1.73923E+12
33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,"{'lat': 53.349013, 'lng': -6.260311}",FALSE,FALSE,23,7,16,OPEN,1.73923E+12
44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,"{'lat': 53.358437, 'lng': -6.260641}",FALSE,FALSE,30,19,11,OPEN,1.73923E+12
89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,"{'lat': 53.335211, 'lng': -6.2509}",FALSE,FALSE,40,38,2,OPEN,1.73923E+12
57,dublin,GRATTAN STREET,Grattan Street,"{'lat': 53.339629, 'lng': -6.243778}",FALSE,FALSE,23,7,16,OPEN,1.73923E+12
80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),"{'lat': 53.341359, 'lng': -6.292951}",FALSE,FALSE,40,28,12,OPEN,1.73923E+12
41,dublin,HARCOURT TERRACE,Harcourt Terrace,"{'lat': 53.332763, 'lng': -6.257942}",FALSE,FALSE,20,11,9,OPEN,1.73923E+12
3,dublin,BOLTON STREET,Bolton Street,"{'lat': 53.351182, 'lng': -6.269859}",FALSE,FALSE,20,14,6,OPEN,1.73923E+12
40,dublin,JERVIS STREET,Jervis Street,"{'lat': 53.3483, 'lng': -6.266651}",FALSE,FALSE,21,9,12,OPEN,1.73923E+12
29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,"{'lat': 53.346057, 'lng': -6.268001}",FALSE,FALSE,29,27,2,OPEN,1.73923E+12
103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),"{'lat': 53.354663, 'lng': -6.278681}",FALSE,FALSE,40,28,12,OPEN,1.73923E+12
28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,"{'lat': 53.356299, 'lng': -6.258586}",FALSE,FALSE,30,13,17,OPEN,1.73923E+12
39,dublin,WILTON TERRACE,Wilton Terrace,"{'lat': 53.332383, 'lng': -6.252717}",FALSE,FALSE,20,6,14,OPEN,1.73923E+12
83,dublin,EMMET ROAD,Emmet Road,"{'lat': 53.340714, 'lng': -6.308191}",FALSE,FALSE,40,21,19,OPEN,1.73923E+12
92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),"{'lat': 53.347802, 'lng': -6.292432}",FALSE,FALSE,40,0,40,OPEN,1.73923E+12
21,dublin,LEINSTER STREET SOUTH,Leinster Street South,"{'lat': 53.34218, 'lng': -6.254485}",FALSE,FALSE,30,27,3,OPEN,1.73923E+12
88,dublin,BLACKHALL PLACE,Blackhall Place,"{'lat': 53.3488, 'lng': -6.281637}",FALSE,FALSE,30,15,15,OPEN,1.73923E+12
